PRTTS   AWS         8759 26204  40  14.6   0.2   1.1  40   1.4  -0.9    1.4    7   28
GRMCG   AWS         8760 26468  40  20.6  -1.1   1.0  40   2.4  -0.9    1.3   12  -30
KNGSM   AWS         8761 26684  41  23.8  -1.2   0.8  41   0.9  -0.9    0.8    1   40
ORLDO   AWS         8762 26765  40  28.7   0.6   1.7  40   1.8  -0.9    1.1    7  -13
DRCUT   UrbaNet     8763 28388  40  14.8   0.2   1.2  40   1.3  -0.9    1.8    3    4
ASTAG   AWS         8764 28403  40  28.6  -0.5   1.9  40   3.2  -0.9    1.6   26  -54
ADK15   UrbaNet     8765 30706  43  23.0  -0.7   1.5  43   1.8  -0.9    1.6    8  -10
PHCHS   AWS         8766 31357  40  18.8  -0.4   1.6  40   3.6   0.9    1.3   15   20
TSUMA   MesoWest    8767 12901  41  13.4   1.1   1.5  41   2.7   0.9    1.5    9  -58
GLMRG   AWS         8768 24291  40  25.4  -0.2   1.1  40   1.7  -0.9    1.2    4   -8
CARTN   AWS         8769 24609  40  17.5   1.0   1.0  40   2.7  -0.9    1.6   21  -17
FLMTH   AWS         8770 24737  40  25.0   1.4   0.9  40   1.6  -0.9    1.6    8   36
WKVIL   AWS         8771 25256  40  21.3  -0.1   1.0  40   2.6  -0.9    1.1   15   -7
GRNDI   AWS         8772 25434  40  15.6   0.6   1.2  40   1.8  -0.9    1.1    6   -2
CRVFR   AWS         8773 25772  40  29.3   2.5   1.2  40   1.4  -0.9    1.2    1  -95
FORFX   AWS         8774 25783  40  22.8  -0.2   1.0  40   2.0  -0.9    1.9    7  -16
TZWLL   AWS         8775 25958  40  18.8   0.7   1.5  40   2.1  -0.9    1.2    9  -14
RLEI4   IADOT       8780  5217  44  16.3   0.7   1.0  44   4.3  -0.9    1.7   35    1
C2024   APRSWXNET   8781  5793  41  17.0  -1.7   1.8  41   3.8  -0.9    2.6   25  -18
C5210   APRSWXNET   8782  5885  42  15.6   0.7   1.3  42   2.0  -0.9    2.1    7   37
MCLI1   RAWS        8783  6222  40  11.9   4.3   2.6  40   1.8  -0.9    1.6   10  -10
MDHC1   RAWS        8784  6224  40  17.3  -4.0   1.3  40   4.4  -0.9    1.6   33  -13
AP228   APRSWXNET   8798  3714  39  23.9   0.6   1.0  39   5.5   0.9    1.5   22   -2
C4409   APRSWXNET   8799  4672  39  15.1   0.9   1.5  39   3.7  -0.9    1.8   19   -8
